ingredient,emissions
sweetcorn - packaged,2406
sweets,2412
sweets - milk-based,4210
tagliatelle,1374
tahini,852
tamari,222
tapioca starch,594
tea - with milk,631
tempeh,1093
tequila,2320
thyme,1133
toffee,2412
tomatoes,2905
tortilla wrap,1081
treacle,656
trout,4220
tuna,10165
turkey,6448
turmeric,1133
turnips,678
valess,5008
vanilla,656
veal,18938
vegetable oil,3200
venison,20986
vinegar,222
vodka,2320
walnut,2129
watercress,1609
wheat,718
whiskey,2320
whiting,4362
wine,1369
worcestershire sauce,222
yogurt,2200
