,ingredient,value,emissions
242,oatly oat drink - chocolate deluxe,1000,330
243,oatly oat drink - deluxe,1000,300
244,"oatly oat drink - deluxe (germany, austria, netherlands)",1000,685
245,oatly oat drink - low-fat,1000,390
246,oatly oat drink - low-fat organic,1000,290
247,oatly oat drink - orange mango,1000,385
248,oatly oat drink - organic,1000,321
249,oatly oat drink - semi-skimmed,1000,515
250,oatly oat drink - semi-skimmed organic,1000,315
251,oatly oat drink - vanilla,1000,430
252,oatly oat drink - vanilla organic,1000,350
253,oats,1000,785
254,octopus,1000,3036
255,olive oil,1000,2526
256,olives,1000,463
257,onion,1000,1051
258,onion - frozen,1000,2308
259,onion - pickled,1000,2543
260,orange juice,1000,2000
261,oranges,1000,1900
262,oregano,1000,1133
263,other pulses,1000,3300
264,other spirits,1000,2320
265,oyster sauce,1000,222
266,oysters,1000,3036
267,palm oil,1000,6116
268,pancake,1000,711
269,pancetta,1000,6628
270,pangasius,1000,4362
271,papaya,1000,4400
272,paprika,1000,1133
273,parsley,1000,1133
274,parsnips,1000,678
275,passata,1000,1959
276,pasta,1000,1374
277,pastry,1000,6579
278,peaches,1000,1900
279,peaches - canned,1000,2900
280,peanut,1000,1360
281,peanut butter,1000,2107
282,peanut oil,1000,3637
283,pears,1000,1028
284,peas,1000,4228
285,peas,1000,2324
286,pecan,1000,2129
287,peppermint extract,1000,656
288,peppers,1000,2019
289,peppers - green,1000,2019
290,peppers - pickled,1000,3840
291,pesto,1000,2526
292,pineapple juice,1000,2523
293,pineapples,1000,1700
294,pineapples - dried,1000,4900
295,pistachio,1000,2330
296,pitta bread,1000,1215
297,plaice,1000,4362
298,plant-based spread,1000,3081
299,plums,1000,1125
300,prunes,1000,4440
301,polenta,1000,760
302,pollock,1000,3214
303,pork,1000,6628
304,porridge,1000,3958
305,potatoes,1000,1273
306,prawn,1000,17746
307,pumpkin seeds,1000,4200
308,quinoa,1000,816
309,quorn,1000,2400
310,quorn classic burger,1000,2550
311,quorn crispy nuggets,1000,1967
312,quorn mince,1000,1691
313,quorn pieces,1000,1709
314,quorn sausages,1000,1700
315,quorn vegan nuggets,1000,2550
316,quorn vegan pieces,1000,1600
317,rabbit,1000,11019
318,raisins,1000,2100
319,rapeseed oil,1000,2404
320,raspberries,1000,2569
321,raspberries - frozen,1000,2300
322,red onion,1000,1051
323,relish,1000,1656
324,rhubarb,1000,844
325,rice,1000,1354
326,rocket,1000,1609
327,rosemary,1000,1133
328,rum,1000,2320
329,sage,1000,1133
330,salad cream,1000,4030
331,salad dressing,1000,4607
332,salad leaves,1000,1609
333,salmon,1000,4787
334,salt,1000,1133
335,sausage,1000,6628
336,sardines,1000,4220
337,scallops,1000,3036
338,scones,1000,3064
339,sea bass,1000,4362
340,seabass,1000,4362
341,seaweed,1000,3036
342,sesameseed oil,1000,4200
343,shallot,1000,1051
344,shepherds pie - ready meal,1000,12222
345,sherry,1000,1369
346,shrimp,1000,17746
347,snack bar - chocolate,1000,5070
348,snack bar - muesli,1000,6840
349,soft drink,1000,622
350,soft drink,1000,622
351,soy sauce,1000,222
352,soybean oil,1000,1583
353,soybeans,1000,2000
354,spagheti bolognese - ready meal,1000,11667
355,spaghetti,1000,1374
356,spinach,1000,1457
357,spinach - canned,1000,1787
358,spinach - frozen,1000,1571
359,spring onion,1000,1051
360,squash,1000,1162
361,squid,1000,3036
362,steak,1000,43330
363,stir fry sauce,1000,222
364,stock,1000,222
365,strawberries,1000,2243
366,strawerries - frozen,1000,2334
367,sugar,1000,656
368,sunflower oil,1000,2545
369,sunflower seeds,1000,848
370,swedes,1000,678
371,sweet potato,1000,1273
372,sweetcorn - canned,1000,2605
373,sweetcorn - frozen,1000,2524
374,sweetcorn - on the cob,1000,1576
375,sweetcorn - packaged,1000,2406
376,sweets,1000,2412
377,sweets - milk-based,1000,4210
378,tagliatelle,1000,1374
379,tahini,1000,852
380,tamari,1000,222
381,tapioca starch,1000,594
382,tea - with milk,1000,631
383,tempeh,1000,1093
384,tequila,1000,2320
385,thyme,1000,1133
386,toffee,1000,2412
387,tomatoes,1000,2905
388,tortilla wrap,1000,1081
389,treacle,1000,656
390,trout,1000,4220
391,tuna,1000,10165
392,turkey,1000,6448
393,turmeric,1000,1133
394,turnips,1000,678
395,valess,1000,5008
396,vanilla,1000,656
397,veal,1000,18938
398,vegetable oil,1000,3200
399,venison,1000,20986
400,vinegar,1000,222
401,vodka,1000,2320
402,walnut,1000,2129
403,watercress,1000,1609
404,wheat,1000,718
405,whiskey,1000,2320
406,whiting,1000,4362
407,wine,1000,1369
408,worcestershire sauce,1000,222
409,yogurt,1000,2200
