Ingedient,Weight(g),Emissions(gCO2)
Peaches - canned,1000,2900
Peanut,1000,1360
Peanut butter,1000,2107
Peanut oil,1000,3637
Pears,1000,1028
Peas,1000,3226
Pecan,1000,2129
Peppermint extract,1000,656
Peppers (Bell),1000,2019
Pesto,1000,2526
Pineapple juice,1000,2523
Pineapples,1000,1700
Pineapples - dried,1000,4900
Pistachio,1000,2330
Pitta bread,1000,1215
Plaice,1000,4362
Plant-based spread,1000,3081
Plums,1000,1125
Prunes,1000,4440
Polenta,1000,760
Pollock,1000,3214
Pork,1000,6628
Porridge,1000,3958
Potatoes,1000,1273
Prawn,1000,17746
Pumpkin seeds,1000,4200
Quinoa,1000,816
Quorn,1000,2400
Quorn Classic Burger,1000,2550
Quorn Crispy Nuggets,1000,1967
Quorn Mince,1000,1691
Quorn Pieces,1000,1709
Quorn Sausages,1000,1700
Quorn Vegan Nuggets,1000,2550
Quorn Vegan Pieces,1000,1600
Rabbit,1000,11019
Raisins,1000,2100
Rapeseed oil,1000,2404
Raspberries,1000,2569
Raspberries - frozen,1000,2300
Red onion,1000,1051
Relish,1000,1656
Rhubarb,1000,844
Rice,1000,1354
Rocket,1000,1609
Rosemary,1000,1133
Rum,1000,2320
Sage,1000,1133
Salad cream,1000,4030
Salad dressing,1000,4607
Salad leaves,1000,1609
Salmon,1000,4787
Salt,1000,1133
Sausage,1000,6628
Sardines,1000,4220
Scallops,1000,3036
Scones,1000,3064
Sea bass,1000,4362
Seabass,1000,4362
Seaweed,1000,3036
Sesameseed oil,1000,4200
Shallot,1000,1051
Shepherds Pie - ready meal,1000,12222
Sherry,1000,1369
Shrimp,1000,17746
Snack bar - chocolate,1000,5070
Snack bar - muesli,1000,6840
Soft drink,1000,622
Soft drink,1000,622
Soy sauce,1000,222
Soybean oil,1000,1583
Soybeans,1000,2000
Spagheti Bolognese - ready meal,1000,11667
Spaghetti,1000,1374
Spinach,1000,1457
Spinach - canned,1000,1787
Spinach - frozen,1000,1571
Spring onion,1000,1051
Squash,1000,1162
Squid,1000,3036
Steak,1000,43330
Stir fry sauce,1000,222
Stock,1000,222
Strawberries,1000,2243
Strawerries - frozen,1000,2334
Sugar,1000,656
Sunflower oil,1000,2545
Sunflower seeds,1000,848
Swedes,1000,678
Sweet potato,1000,1273
Sweetcorn - canned,1000,2605
Sweetcorn - frozen,1000,2524
Sweetcorn - on the cob,1000,1576
Sweetcorn - packaged,1000,2406
Sweets,1000,2412
Sweets - milk-based,1000,4210
Tagliatelle,1000,1374
Tahini,1000,852
Tamari,1000,222
Tapioca starch,1000,594
Tea - with milk,1000,631
Tempeh,1000,1093
Tequila,1000,2320
Thyme,1000,1133
Toffee,1000,2412
Tomatoes,1000,2905
Tortilla wrap,1000,1081
Treacle,1000,656
Trout,1000,4220
Tuna,1000,10165
Turkey,1000,6448
Turmeric,1000,1133
Turnips,1000,678
Valess,1000,5008
Vanilla,1000,656
Veal,1000,18938
Vegetable oil,1000,3200
Venison,1000,20986
Vinegar,1000,222
Vodka,1000,2320
Walnut,1000,2129
Waffle,1000,2459
Watercress,1000,1609
Wheat,1000,718
Whiskey,1000,2320
Whiting,1000,4362
Wine,1000,1369
Worcestershire sauce,1000,222
Yogurt,1000,2200
